民國年月,行政區,火災統計數值,起火處_客廰統計數值,起火處_餐廰統計數值,起火處_臥室統計數值,起火處_書房統計數值,起火處_廚房統計數值,起火處_浴廁統計數值,起火處_神龕統計數值,起火處_陽台統計數值,起火處_庭院統計數值,起火處_辦公室統計數值,起火處_教室統計數值,起火處_倉庫統計數值,起火處_機房統計數值,起火處_攤位統計數值,起火處_工寮統計數值,起火處_樓梯間統計數值,起火處_電梯統計數值,起火處_管道間統計數值,起火處_走廊統計數值,起火處_停車場統計數值,起火處_騎樓統計數值,起火處_路邊統計數值,起火處_墓地統計數值,起火處_其他統計數值,起火原因_縱火統計數值,起火原因_自殺統計數值,起火原因_燈燭統計數值,起火原因_爐火烹調統計數值,起火原因_敬神掃墓祭祖統計數值,起火原因_菸蒂統計數值,起火原因_電氣因素統計數值,起火原因_機械設備統計數值,起火原因_玩火統計數值,起火原因_烤火統計數值,起火原因_施工不慎統計數值,起火原因_易燃品自燃統計數值,起火原因_瓦斯漏氣或爆炸統計數值,起火原因_化學物品統計數值,起火原因_燃放爆竹統計數值,起火原因_交通事故統計數值,起火原因_天然災害統計數值,起火原因_遺留火種統計數值,起火原因_燃燒雜草或垃圾統計數值,起火原因_原因不明統計數值,起火原因_其他統計數值
11401,松山區,12, - ,1,2, - ,4,1, - , - , - ,1, - , - , - ,1, - , - , - , - , - , - , - ,1, - ,1, - , - , - ,5, - ,2,3, - , - , - , - , - , - , - , - , - , - , - ,2, - , - 
11401,信義區,7, - , - , - , - ,1, - , - , - ,1, - , - ,2, - , - , - , - , - , - ,1,1, - ,1, - , - , - , - , - ,1, - ,3,1, - , - , - , - , - , - , - , - , - , - , - ,2, - , - 
11401,大安區,18, - , - ,2, - ,3, - ,1,3, - ,2, - , - , - , - , - , - , - , - , - ,1, - ,4, - ,2, - , - , - ,2, - ,5,6, - , - ,1,1, - ,1, - ,1, - , - , - , - , - ,1
11401,中山區,11,3, - ,1, - ,1, - , - ,3, - , - , - , - , - ,1, - , - , - , - , - , - , - , - , - ,2, - , - ,1,2, - ,3,4, - , - , - , - , - ,1, - , - , - , - , - , - , - , - 
11401,中正區,5, - , - ,1, - , - ,1, - , - , - , - , - , - ,1, - , - , - , - , - ,1, - , - , - , - ,1, - , - , - , - , - , - ,5, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
11401,大同區,2, - , - ,1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - , - ,1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - , - 
11401,萬華區,10, - ,1,2, - ,1,1, - ,1, - , - , - ,1, - , - , - , - , - , - , - , - , - ,2, - ,1,1, - , - ,2,1,3,3, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
11401,文山區,9, - , - , - , - ,1,1,1, - , - , - , - ,1, - , - , - , - , - , - , - , - , - ,2, - ,3,1, - ,1,1, - ,3,1, - , - , - , - , - , - , - , - , - , - , - ,1, - ,1
11401,南港區,7, - , - , - , - ,3, - , - ,1, - , - , - , - ,1, - , - , - , - , - , - , - , - ,1, - ,1, - , - , - ,3,1, - ,2, - , - , - , - , - , - , - , - , - , - , - ,1, - , - 
11401,內湖區,10, - , - ,1, - ,3,1, - ,1, - , - , - , - ,2, - , - , - , - , - , - , - , - ,2, - , - , - , - , - ,3,1,1,4, - , - , - , - , - , - , - , - , - , - , - ,1, - , - 
11401,士林區,10,1, - , - , - ,1, - ,1,1, - ,1, - , - , - , - , - , - , - , - , - , - ,1,1, - ,3, - , - , - ,1, - , - ,4, - , - , - , - , - ,1, - ,1, - , - , - ,3, - , - 
11401,北投區,5, - , - , - , - ,1, - , - ,1, - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,2, - , - , - ,1, - ,2, - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,1
